endpoint,version,entity,available,note
JPEndpoints,24.200.001,InventoryQuantityAvailable,true,
JPEndpoints,24.200.001,InventoryReceipt,true,
JPEndpoints,24.200.001,InventorySummaryInquiry,true,
JPEndpoints,24.200.001,Invoice,true,
JPEndpoints,24.200.001,ItemClass,true,
JPEndpoints,24.200.001,ItemSalesCategory,true,
JPEndpoints,24.200.001,ItemWarehouse,true,
JPEndpoints,24.200.001,JournalTransaction,true,
JPEndpoints,24.200.001,KitAssembly,true,
JPEndpoints,24.200.001,KitSpecification,true,
JPEndpoints,24.200.001,LaborCostRate,true,
JPEndpoints,24.200.001,Lead,true,
JPEndpoints,24.200.001,Ledger,true,
JPEndpoints,24.200.001,LotSerialClass,true,
JPEndpoints,24.200.001,NonStockItem,true,
JPEndpoints,24.200.001,Opportunity,true,
JPEndpoints,24.200.001,PTOBank,true,
JPEndpoints,24.200.001,PayGroup,true,
JPEndpoints,24.200.001,PayPeriod,true,
JPEndpoints,24.200.001,Payment,true,
JPEndpoints,24.200.001,PaymentMethod,true,
JPEndpoints,24.200.001,PayrollBatch,true,
JPEndpoints,24.200.001,PayrollUnionLocal,true,
JPEndpoints,24.200.001,PayrollWCCCode,true,
JPEndpoints,24.200.001,PhysicalInventoryCount,true,
JPEndpoints,24.200.001,PhysicalInventoryReview,true,
JPEndpoints,24.200.001,ProFormaInvoice,true,
JPEndpoints,24.200.001,Project,true,
JPEndpoints,24.200.001,ProjectBudget,true,
JPEndpoints,24.200.001,ProjectTask,true,
JPEndpoints,24.200.001,ProjectTemplate,true,
JPEndpoints,24.200.001,ProjectTemplateTask,true,
JPEndpoints,24.200.001,ProjectTransaction,true,
JPEndpoints,24.200.001,PurchaseOrder,true,
JPEndpoints,24.200.001,PurchaseReceipt,true,
JPEndpoints,24.200.001,SalesInvoice,true,
JPEndpoints,24.200.001,SalesOrder,true,
JPEndpoints,24.200.001,SalesPriceWorksheet,true,
JPEndpoints,24.200.001,SalesPricesInquiry,true,
JPEndpoints,24.200.001,Salesperson,true,
JPEndpoints,24.200.001,ServiceOrder,true,
JPEndpoints,24.200.001,ShipVia,true,
JPEndpoints,24.200.001,Shipment,true,
JPEndpoints,24.200.001,ShippingBox,true,
JPEndpoints,24.200.001,ShippingTerm,true,
JPEndpoints,24.200.001,ShippingZones,true,
JPEndpoints,24.200.001,ShopifyStore,true,
JPEndpoints,24.200.001,StockItem,true,
JPEndpoints,24.200.001,StorageDetailsByLocationInquiry,true,
JPEndpoints,24.200.001,StorageDetailsInquiry,true,
JPEndpoints,24.200.001,Subaccount,true,
JPEndpoints,24.200.001,Subcontract,true,
JPEndpoints,24.200.001,Task,true,
JPEndpoints,24.200.001,Tax,true,
JPEndpoints,24.200.001,TaxCategory,true,
JPEndpoints,24.200.001,TaxReportingSettings,true,
JPEndpoints,24.200.001,TaxZone,true,
JPEndpoints,24.200.001,TemplateItems,true,
JPEndpoints,24.200.001,TimeEntry,true,
JPEndpoints,24.200.001,TransferOrder,true,
JPEndpoints,24.200.001,UnionLocal,true,
JPEndpoints,24.200.001,UnitsOfMeasure,true,
JPEndpoints,24.200.001,Vendor,true,
JPEndpoints,24.200.001,VendorClass,true,
JPEndpoints,24.200.001,VendorPriceWorksheet,true,
JPEndpoints,24.200.001,VendorPricesInquiry,true,
JPEndpoints,24.200.001,Warehouse,true,
JPEndpoints,24.200.001,WorkCalendar,true,
JPEndpoints,24.200.001,WorkClassCompensationCode,true,
JPEndpoints,24.200.001,WorkLocation,true,
