invoice_id,invoice_number,status,commitment,vendor,amount,bill_description
3224,002543,MOVED,SC-000224,BLAKLEY,30482.22,"SC-2603-0017 PayApp3 Goodwill Bloomington"
3228,002552,MOVED,SC-000295,COOLPLANET,38556,"SC-2603-0025 Goodwill Bloomington PayApp2"
3241,002583,MOVED,SC-000176,C&S HEATIN,4582,"SC-2603-0006 PayApp3 Goodwill Bloomington Retainage"
3242,002584,MOVED,SC-000176,C&S HEATIN,9920,"SC-2603-0006 PayApp2 Goodwill Bloomington Retainage"
3243,002585,MOVED,SC-000176,C&S HEATIN,762.2,"SC-2603-0006 PayApp4 Goodwill Bloomington Retainage"
3244,002586,MOVED,SC-000176,C&S HEATIN,1500,"PI-2603-0006 Goodwill Bloomington Retainage"
3250,002593,FLAGGED_ON_SHELL,SC-000316,UNIREN,588.49,"248179719-007 - Fence Modular - Goodwill Bloomington"
3252,002595,FLAGGED_ON_SHELL,SC-000316,KIMHOR,1942.5,"Invoice 170569000-0925 (Goodwill Bloomington - Limited Construction Phase Servic"
3323,002709,MOVED,SC-000156,GLENMARK,1196.4,"SC-2603-0019 PayApp9 Goodwill Bloomington - Retainage"
3324,002710,MOVED,SC-000156,GLENMARK,415.56,"PI-2603-0004 Goodwill Bloomington - Retainage"
3325,002711,MOVED,SC-000156,GLENMARK,4501.7,"SC-2603-0019 PayApp5 Goodwill Bloomington - Retainage"
3326,002712,MOVED,SC-000156,GLENMARK,6412.9,"Goodwill Bloomington - Retainage"
3327,002713,MOVED,SC-000156,GLENMARK,414,"SC-2603-0019 PayApp7 Goodwill Bloomington - Retainage"
3328,002714,MOVED,SC-000156,GLENMARK,4642.9,"SC-2603-0019 PayApp6 Goodwill Bloomington - Retainage"
3329,002715,MOVED,SC-000156,GLENMARK,8874.19,"SC-2603-0019 PayApp4 Goodwill Bloomington - Retainage"
3330,002716,MOVED,SC-000156,GLENMARK,1594.4,"SC-2603-0019 PayApp8 Goodwill Bloomington - Retainage"
3331,002717,MOVED,SC-000156,GLENMARK,3505.1,"SC-2603-0003 PayApp3 Goodwill Bloomington - Retainage"
