Item No,Sub Job,Cost Code,Cost Type,Description Of Work,Scheduled Value,Work Completed: From Previous Application,Work Completed: This Period,Materials Presently Stored,Total Completed and Stored To Date,%,Balance To Finish,From Previous Application: Work Retainage $,From Previous Application: Materials Retainage $,From Previous Application: Total $,Retained This Period: Work Retainage %,Retained This Period: Work Retainage $,Retained This Period: Materials Retainage %,Retained This Period: Materials Retainage $,Released This Period: Work Retainage $,Released This Period: Materials Retainage $,Currently Retained: Work Retainage $,Currently Retained: Materials Retainage $,Total $
41,"",06-1000,S,Fire rated telco backboards,1000.0,1000.0,0.0,0.0,1000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"",07-1000,S,Cap Roof Penetrations,2875.0,2875.0,0.0,0.0,2875.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"",08-1113,M,Added Door & Framed CIG,37050.0,37050.0,0.0,0.0,37050.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"",08-1216,S,Daycare Exit Door,1533.71,1533.71,0.0,0.0,1533.71,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"",09-2116,S,Added drywall and framing Phase 1 & 2,190512.0,190512.0,0.0,0.0,190512.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"",09-6800,S,Added Flooring Phase 1 & 2,50255.0,50255.0,0.0,0.0,50255.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"",09-9123,S,Added Painting Phase 1 & 2,31282.0,31282.0,0.0,0.0,31282.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"",10-2813,S,Fire Extinguishers & Cabinets,0.0,0.0,0.0,0.0,0.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"",10-2813,S,Bathroom Partitions & Toilet Accessories,16736.1,16736.1,0.0,0.0,16736.1,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"",12-3000,S,"Phase 1 & 2 Casework, counters",37803.0,37803.0,0.0,0.0,37803.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"",12-2000,S,Added Roller Shades Exterior Windows,11500.1,11500.1,0.0,0.0,11500.1,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"",21-1100,S,Added phase 1 & 2 Sprinkler Work,30307.15,30307.15,0.0,0.0,30307.15,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"",22-1000,S,Added phase 1 & 2 plumbing,154718.0,154718.0,0.0,0.0,154718.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"",22-1000,S,Camera Sewer & unforseen Conditions,15000.0,15000.0,0.0,0.0,15000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"",23-3000,S,Added Phasee 1 & 2 HVAC,60286.0,60286.0,0.0,0.0,60286.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"",23-3000,S,Cap Pool Exhaust & Control Work,10000.0,10000.0,0.0,0.0,10000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"",26-1000,S,Added Phase 1 & 2 Electrical Work,268174.53,268174.53,0.0,0.0,268174.53,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"",26-1000,S,Added Phase 1 & 2 Fire Alarm,0.0,0.0,0.0,0.0,0.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"",26-1000,S,"Added controls, demo of existing wiring and unforsee conditions",30000.0,30000.0,0.0,0.0,30000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"",27-1000,S,Added Access control Scope Phase 1 & 2,0.0,0.0,0.0,0.0,0.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"",52-2000,S,Added Phase 1 & 2 Design,40975.04,40975.04,0.0,0.0,40975.04,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,"",55-0100,X,Owner Contingency & Permit Costs,15000.0,15000.0,0.0,0.0,15000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"",28-4600,S,Added FA & Security,22500.0,22500.0,0.0,0.0,22500.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"",55-0100,X,Excess funds moved to contingency,860.0,0.0,0.0,0.0,0.0,0.00%,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"",27-1000,S,Supply & install window glass.,2800.0,0.0,0.0,0.0,0.0,0.00%,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,"",09-2116,S,Reframe for window openings and install window frames.,4340.0,0.0,0.0,0.0,0.0,0.00%,4340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"",08-1429,M,Provide hollow metal window frames.,2600.0,0.0,0.0,0.0,0.0,0.00%,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"",09-9123,S,Paint additional hollow metal frames and beauty bead.,900.0,0.0,0.0,0.0,0.0,0.00%,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"",27-1000,S,This work is done by owner.,-11500.0,0.0,0.0,0.0,0.0,-0.00%,-11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"",27-1000,S,Cost to frost glass per attached markup.,4840.0,0.0,0.0,0.0,0.0,0.00%,4840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"",12-2000,S,"Delete blinds in Daycare, Classroom 110 & Classroom 111.",-5267.0,0.0,0.0,0.0,0.0,-0.00%,-5267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"",55-0100,X,Savings from blinds added to contingency,427.0,0.0,0.0,0.0,0.0,0.00%,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
