table,id,parent_id,project_id,contract_number,parent_title,parent_status,line_number,budget_code,normalized_budget_code,description,amount,reason,typed_candidate_ids,typed_candidate_labels,other_candidate_ids,other_candidate_labels,recommended_action
"subcontract_sov_items","d98f5e13-de55-41ac-ac57-434dc1144db1","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","5","237000","237000","Cost of Contracts- Subco","6000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","b14515d5-0561-447f-826c-6c76511aef3f","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","6","237000","237000","Cost of Contracts- Subco","10000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","3822b7cc-9edd-4dd7-b023-6c859fa8cf8e","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","7","237000","237000","Cost of Contracts- Subco","12000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","6e43b4b0-2acc-40b0-895e-d5cffdc0bc43","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","8","237000","237000","Cost of Contracts- Subco","6000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","d13a0830-1cc9-4ee5-9ebf-8944b769a938","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","9","237000","237000","Cost of Contracts- Subco","48000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","4bf89597-b23f-4e87-8979-f7c3f4378b7c","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","10","237000","237000","Cost of Contracts- Subco","-13149.41","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","e497e87a-c1ea-4380-8e40-d86d7bf61260","7df8febb-f4ff-400e-a951-0f7ced04e5d8","761","SC-000366","Structural Welding Subcontract","Complete","1","051200","051200","Cost of Contracts- Subco","312370.49","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","2d595d49-4a8a-4ecf-a6ba-b2cbba5e3f57","7df8febb-f4ff-400e-a951-0f7ced04e5d8","761","SC-000366","Structural Welding Subcontract","Complete","2","051200","051200","Cost of Contracts- Subco","125000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","95387d01-8d9d-4a23-9dfd-5a4eb6d4fc59","7df8febb-f4ff-400e-a951-0f7ced04e5d8","761","SC-000366","Structural Welding Subcontract","Complete","3","051200","051200","Cost of Contracts- Subco","34638","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","7f9aa50a-5c71-4711-aa4b-dde2fe90b27c","7f2f3a56-bb38-4ab0-84b7-fb7f88fb6fca","43","SC-000194","All windows Aluminum store fronts and doors Vestibule at sou","Complete","1","084300","084300","Cost of Contracts- Subco","109315","ambiguous_typed_matches","73807d21-4c42-4a8e-afc8-8026155b016a;e98da9d9-c950-4bdd-aa8f-581bcd92112c","08-4300.M;08-4300.S","aa0334a2-cb74-49e7-a802-f46029fd4b55","08-4300","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","f399fcc1-9d5d-4744-b239-b09e54017c6c","7f2f3a56-bb38-4ab0-84b7-fb7f88fb6fca","43","SC-000194","All windows Aluminum store fronts and doors Vestibule at sou","Complete","2","084300","084300","Cost of Contracts- Subco","10755","ambiguous_typed_matches","73807d21-4c42-4a8e-afc8-8026155b016a;e98da9d9-c950-4bdd-aa8f-581bcd92112c","08-4300.M;08-4300.S","aa0334a2-cb74-49e7-a802-f46029fd4b55","08-4300","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","34012dad-59ba-433f-b79f-f3e0ec3536bd","7f2f3a56-bb38-4ab0-84b7-fb7f88fb6fca","43","SC-000194","All windows Aluminum store fronts and doors Vestibule at sou","Complete","3","084300","084300","Cost of Contracts- Subco","30000","ambiguous_typed_matches","73807d21-4c42-4a8e-afc8-8026155b016a;e98da9d9-c950-4bdd-aa8f-581bcd92112c","08-4300.M;08-4300.S","aa0334a2-cb74-49e7-a802-f46029fd4b55","08-4300","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","d4ddf718-06e2-40a2-8d79-04e6c4f63b5c","7f2f3a56-bb38-4ab0-84b7-fb7f88fb6fca","43","SC-000194","All windows Aluminum store fronts and doors Vestibule at sou","Complete","4","084300","084300","Cost of Contracts- Subco","10000","ambiguous_typed_matches","73807d21-4c42-4a8e-afc8-8026155b016a;e98da9d9-c950-4bdd-aa8f-581bcd92112c","08-4300.M;08-4300.S","aa0334a2-cb74-49e7-a802-f46029fd4b55","08-4300","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","26d30812-ad7f-4d05-bd9c-73e9d733e0d3","7f2f3a56-bb38-4ab0-84b7-fb7f88fb6fca","43","SC-000194","All windows Aluminum store fronts and doors Vestibule at sou","Complete","5","084300","084300","Cost of Contracts- Subco","-1915","ambiguous_typed_matches","73807d21-4c42-4a8e-afc8-8026155b016a;e98da9d9-c950-4bdd-aa8f-581bcd92112c","08-4300.M;08-4300.S","aa0334a2-cb74-49e7-a802-f46029fd4b55","08-4300","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","d352b09c-71b8-4bac-9c80-b6b096f900e9","8c4239e6-36d3-4d94-b07d-ed3c3e3d5493","761","SC-000332","Structural Welding Subcontract","Approved","1","051200","051200","Cost of Contracts- Subco","295000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","2ee4602c-a326-45d6-af01-b764c4bcd0d3","8c4239e6-36d3-4d94-b07d-ed3c3e3d5493","761","SC-000332","Structural Welding Subcontract","Approved","2","051200","051200","Cost of Contracts- Subco","125000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","918258be-26e0-4970-9226-121263a406da","8c4239e6-36d3-4d94-b07d-ed3c3e3d5493","761","SC-000332","Structural Welding Subcontract","Approved","3","051200","051200","Cost of Contracts- Subco","34638","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","bf0dd60b-a518-4566-b7b7-0f0c65c31b3d","8c4239e6-36d3-4d94-b07d-ed3c3e3d5493","761","SC-000332","Structural Welding Subcontract","Approved","4","051200","051200","Cost of Contracts- Subco","797.49","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","f1564b7e-fdb4-406c-a86d-ff87bb5f9ad6","8c4239e6-36d3-4d94-b07d-ed3c3e3d5493","761","SC-000332","Structural Welding Subcontract","Approved","5","051200","051200","Cost of Contracts- Subco","3000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","62906618-a0e4-4d5b-8060-c9d1c7421e16","8c4239e6-36d3-4d94-b07d-ed3c3e3d5493","761","SC-000332","Structural Welding Subcontract","Approved","6","051200","051200","Cost of Contracts- Subco","1900","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","494c11b7-538e-4a00-91eb-24cd37cd2d29","8c4239e6-36d3-4d94-b07d-ed3c3e3d5493","761","SC-000332","Structural Welding Subcontract","Approved","7","051200","051200","Cost of Contracts- Subco","4600","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","10898cc6-4e66-4f70-8b67-dc7ab829e9ab","8f2bbab9-e7d9-4554-8361-29b99d7085a9","25125","SC-5092-0003","Plumbing","Approved","1","22-1000","221000","Plumbing Piping","132342","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","d1d5dadf-6853-4ec9-84d9-d9e85526633e","90f9382d-e94e-4fe2-95ed-ca8fce04ca76","25108","SC-000320","SC-000320","Approved","1","099123","099123","Cost of Contracts- Subco","5350","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","1b668fb4-2736-4f37-bc05-9ba06a2e4c3b","94c7bb8d-23e0-498f-b187-c2232df31603","43","SC-000292","Power washing of structural steel after erection to clean of","Complete","1","017413","017413","Cost of Contracts- Subco","2500","ambiguous_typed_matches","a8641a8e-86a4-41ca-8bca-0cd7b0c62971;f498ceec-250f-463b-9e2b-a87e6b825152","01-7413.X;01-7413.S","642bf908-3a72-4d6a-9a73-4d39cf4138ea","01-7413","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","f30c6f43-2c63-4944-98b4-5e83e88488c8","964e642b-33cd-4dda-be6b-65e8f83f5579","805","SC-000038","Flooring and Base","Approved","1","096519","096519","Cost of Contracts- Subco","4350","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","e1d8259b-1368-4e9d-a000-55c96f5bc115","964e642b-33cd-4dda-be6b-65e8f83f5579","805","SC-000038","Flooring and Base","Approved","2","096519","096519","Cost of Contracts- Subco","575","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","11a1f9cc-9ab0-4085-b5ee-9f880c4b1460","9a304a4d-bb9a-4c99-9e17-c8d02a7fb895","754","SC-8189-0009","","Approved","1","","","SC-8189-0009","82900","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"subcontract_sov_items","dad91854-7aa9-4fab-bf43-f2e27a01f492","9c5c728e-17fc-4405-a8e4-2eacd2861fca","868","SC-000439","Provide labor and materials to replace the existing wall bas","Approved","1","096513","096513","Cost of Contracts- Subco","5400","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
