Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001681,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0104 - Cost to install added 30 tap beer wall on the second floor of the Collective building. _x000A_Add to install tile on 2nd floor beer wall. Exact replica of 1st floor beer wall.,0311,12/30/2025,12/30/2025,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001622,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0105 - Cost to purchase door, frame, and hardware for 1st floor Elevator Mechanical Room _x000A_6070 KD Frame_x000A_Pair 3070 HM Doors_x000A_45 min fire rating _x000A_Opening: 3 5/8"" studs with 5/8 gyp both sides. _x000A_Delivered by CIH_x000A_Installed by others",0278,1/2/2026,1/2/2026,CRAVING CREPES LLC,0.00,0.00,1/7/2026
001686,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0106 - Superior to install bulkhead and hard lid  in the entrance to the commissary room to hide exposed vendor exhaust duct and allow for higher ACT ceilings. _x000A_Price for material and labor,0316,1/2/2026,1/2/2026,CRAVING CREPES LLC,0.00,0.00,1/26/2026
001689,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0107 - Merritt Concrete Winter Conditions for the following pours_x000A_11.5.25 Pour for added North Volleyball Patio_x000A_11.6.25 & 11.19.25 south volleyball sidewalk & added sidewalk connecting North Volleyball patio to dumpster sidewalk,0319,1/7/2026,1/7/2026,CRAVING CREPES LLC,0.00,0.00,1/27/2026
001644,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0108 - Deduct for removed SOW _x000A_MONUMENT SIGN BASE:_x000A_ Includes prepping, forming, and pouring (1) monument sign foundation the east side of the_x000A_ entrance per plans and specications._x000A_Deduct for not demoing curb at front of collective building.",0300,1/9/2026,1/9/2026,CRAVING CREPES LLC,0.00,0.00,1/9/2026
001645,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0109 - Added break metal at 2 south windows, 2 north windows, and all Collective building garage doors and counter shutters.",0301,1/9/2026,1/9/2026,CRAVING CREPES LLC,0.00,0.00,1/9/2026
001646,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0110 - Cost to frame new storage room under first floor staircase. _x000A_Cost to Install plywood on the outside walls for SSB install_x000A_Cost to Install and finish drywall inside of the added room _x000A_All material provided by superior,0302,1/9/2026,1/9/2026,CRAVING CREPES LLC,0.00,0.00,1/9/2026
001658,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0111 - Bathroom Accessories for all men's and women's RR's. _x000A_Toilet Accessories were never ordered or included in contract_x000A_Includes cost for the following TA's and Installation of TA's_x000A_Includes (3) Three Sanitary/ Feminine Napkin Disposals_x000A_Include,0303,1/16/2026,1/16/2026,CRAVING CREPES LLC,0.00,0.00,1/16/2026
001675,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0112 - True Step is charging $578.00 for time spent on detailing for CO #1, which ended up being canceled.",0305,1/20/2026,1/20/2026,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001676,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0113 - (2) Added High Tops located at the landing of interior second floor_x000A_Furnish only_x000A_Includes supply material, labor, shop drawings, fabrication, delivery of two (2) high top drink tables. Primed and Painted by True Step_x000A_Paint Color RAL 9005",0306,1/20/2026,1/20/2026,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001685,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0115 - Deduct for installation of 4 air curtains inside the Collective building. _x000A_Deduct for Labor_x000A_Air Curtains were provided by Alleato Group _x000A_Deem Electrical to install the 4 air curtain per their contract,0315,1/20/2026,1/20/2026,CRAVING CREPES LLC,0.00,0.00,1/26/2026
001674,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0116 - Cost to account for design changes to the 2nd floor patio posts_x000A_- Cost for added 5"" plates_x000A_- Cost for  added top rail _x000A_- Cost for detailing/ holes in plates 1' OC_x000A_- Cost for prime and paint_x000A_- Cost for installation of posts",0304,1/22/2026,1/22/2026,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001677,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0117 - Winter Conditions_x000A_Price to provide tenting and heat to commence and complete picture frame reveal at all dark grey EIFS locations per drawings. _x000A_""Price to not exceed $5,000""",0307,1/22/2026,1/22/2026,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001678,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0118 - Remove and Reinstall_x000A_-  2 SF windows at back (North)_x000A_- North Exit Opening  104 (North)_x000A_- 2 SF windows at  front (South)_x000A_- Main entrance Opening 100A (South),0308,1/22/2026,1/22/2026,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001694,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0119 - Cost for Painting adds that were left out of subcontract:_x000A_- Dry fall paint underside of 1st floor mezzanine_x000A_- Additional labor and material to spray sound material on bottom of mezzanine_x000A_- Hand painting all MEPs, conduits, boxes, clamps, un",0324,1/22/2026,1/22/2026,CRAVING CREPES LLC,0.00,0.00,1/27/2026
001683,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0120 - LeMaster is charging an extra $2,913.75 for add/extra work outside of their original contract. _x000A_LeMaster to make custom base trim for front wall of dining and install for EIFIS._x000A_LeMaster to remove gutter and downspout for EIFIS, then reinst",0313,1/22/2026,1/22/2026,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001690,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0122 - Cost to deduct_x000A_- (2) two C-07 trash receptacles_x000A_- Deduct top cushions from bench seating_x000A_- Deduct for removed shelves at main interior staircase,0320,1/27/2026,1/27/2026,CRAVING CREPES LLC,0.00,0.00,1/27/2026
001692,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0123 - A change order was written to Executive Elevator to cover the costs of Executive Elevator installing their Mech. Rm. up on the 2nd floor, in lieu of the first floor. _x000A_The elevator Mech. Rm. was relocated back to the first floor.",0322,1/27/2026,1/27/2026,CRAVING CREPES LLC,0.00,0.00,1/27/2026
001756,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0124 - LeMaster has charged an additional $5,308 for add/extra work outside of their original contract_x000A_LeMaster has charged an additional $5,308 for add/extra work outside of their original contract _x000A_LeMaster to modify gurt and reinstall due to da",0364,1/27/2026,1/27/2026,CRAVING CREPES LLC,0.00,0.00,2/20/2026
001783,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0125 - LeMaster has charged an additional $5,308 for add/extra work outside of their original contract_x000A_ LeMaster to modify gurt and reinstall due to damage by plumber when installing underground. (Justin Dorsey) _x000A_10/15. LeMaster to unload material",0383,1/27/2026,1/27/2026,CRAVING CREPES LLC,0.00,0.00,3/4/2026
001782,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0126 -  LeMaster to load and unload material for DEEM. (DEEM)_x000A_ LeMaster to swap sheet that had holes in wrong spot on line e (DEEM),0382,1/27/2026,1/27/2026,CRAVING CREPES LLC,0.00,0.00,3/4/2026
001695,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0127 - Door 111A  - add commissary access  door,0325,1/28/2026,1/28/2026,CRAVING CREPES LLC,0.00,0.00,1/28/2026
