Type,Reference Nbr.,Status,Payment Date,Payment Period,Customer,Customer Name,Description,Payment Ref.,Payment Amount,Currency,Cash Account,Payment Method,Created On
Payment,000265,Closed,2/18/2026,02-2026,CRAVING,CRAVING CREPES LLC,TRN: 0886401049FF,TRN: 0338891049FF,"69,973.52",USD,CHECKING,ACH PYMT,2/19/2026
Payment,000264,Closed,2/18/2026,02-2026,CRAVING,CRAVING CREPES LLC,Payapp6 - Westfield Collective,TRN: 0338891049FF,"442,214.44",USD,CHECKING,ACH PYMT,2/19/2026
Payment,000263,Closed,2/18/2026,02-2026,CRAVING,CRAVING CREPES LLC,Payapp5 - Westfield Collective,TRN: 0338891049FF,"214,014.03",USD,CHECKING,ACH PYMT,2/19/2026
Payment,000262,Closed,2/18/2026,02-2026,CRAVING,CRAVING CREPES LLC,Payapp3 - Westfield Collective,TRN: 0338891049FF,"161,264.86",USD,CHECKING,ACH PYMT,2/19/2026
Payment,000261,Closed,2/18/2026,02-2026,CRAVING,CRAVING CREPES LLC,Payapp2 - Westfield Collective,TRN: 0338891049FF,"2,533.15",USD,CHECKING,ACH PYMT,2/19/2026
Payment,000259,Closed,2/12/2026,02-2026,ASPIRESL,Aspire at Saint Lucie,Partial Payment received CK 1444,CK 1444,920.80,USD,CHECKING,CHECK,2/16/2026
Payment,000258,Closed,2/12/2026,02-2026,ASPIRESL,Aspire at Saint Lucie,Aspire at St Lucie PayApp2,CK 1444,"5,079.20",USD,CHECKING,CHECK,2/16/2026
Payment,000257,Closed,2/12/2026,02-2026,ASPIRE,Aspire Oak Tree Daytona LS,Life Safety Plan,CK 1409,"9,000.00",USD,CHECKING,CHECK,2/16/2026
Payment,000260,Closed,2/6/2026,02-2026,ULTA,Ulta Inc.,RI-5347-0001 1/1/2026 - 1/31/2026,ID NUMBER 461434,"3,268,581.00",USD,CHECKING,CHECK,2/18/2026
Credit Memo,000456,Closed,1/31/2026,01-2026,HILLSDALE,Hillsdale Holdings,,,"335,186.10",USD,,,2/16/2026
Credit Memo,000454,Closed,1/31/2026,01-2026,UNIQLO,Uniqlo USA LLC,RI-3729-0014 1/1/2026 - 1/31/2026,,"187,538.46",USD,,,2/16/2026
Credit Memo,000461,Closed,1/30/2026,01-2026,NIEMANN,"Niemann Holdings, LLC",RI-3515-0012 1/1/2026 - 1/31/2026,,"17,500.00",USD,,,2/23/2026
Payment,000255,Closed,1/30/2026,01-2026,EXOTEC,"Exotec North America, Inc.",Uniqlo Project PayApp2,TRN: 0303409014TC,"42,446.36",USD,CHECKING,CHECK,2/2/2026
Payment,000254,Closed,1/30/2026,01-2026,RADIAL,"Radial, Inc",PC-3959-0001 Radial Martinsville PayApp3 - PO-4500062487,TRN: 0309696628TC,"287,291.84",USD,CHECKING,CHECK,2/2/2026
Payment,000252,Closed,1/26/2026,01-2026,CEVA,"CEVA Logistics U.S., Inc.",CEVA Bernville Consulting PayApp004, ORIG ID:9734194807,"60,673.09",USD,CHECKING,CHECK,1/26/2026
Payment,000250,Closed,1/15/2026,01-2026,CRAVING,CRAVING CREPES LLC,"FEDWIRE CREDIT VIA: ELEMENTS FINANCIAL FEDERAL CREDIT U/274073834 B/O: IBEACH HOLDING PARTNERS, LLC WESTFIELD IN 46074 REF: CHASE NYC/CTR/BNF=ALLEATO LLC INDIANAPOLIS IN 46250-3596 US/AC-0000000 08626 RFB=NOTPROVIDED OBI=/PURP/BUS INESS EXPENSES (C)/URI/P ROJECT: 24 -115 WESTFIELD COLLECTIVP AY APP 01 1 TRN: 0683871015FF",PAY APP 01 1 TRN: 0683871015FF,"892,788.45",USD,CHECKING,CHECK,1/15/2026
Payment,000256,Open,1/5/2026,01-2026,APPLIED,"Applied Engineering Services, Inc.",PayApp5 -  Applied Engineering-Check#18690-DEPOSIT  ID NUMBER 836547,Check#18690-DEPOSIT  ID NUMBER 836547,"27,072.36",USD,CHECKING,CHECK,2/6/2026
Payment,000253,Open,1/5/2026,01-2026,NIEMANN,"Niemann Holdings, LLC",PayApp6 - Niemann Foods,Check 2868,"16,891.95",USD,CHECKING,CHECK,1/27/2026
Payment,000251,Closed,1/5/2026,01-2026,CORE-MARK,"Core-Mark US, LLC",Pay App 002 - 25-101 Core Mark,Check 610056182,"11,428.00",USD,CHECKING,CHECK,1/26/2026
Payment,000249,Closed,1/5/2026,01-2026,RADIAL,"Radial, Inc",PC-3959-0001 Radial Martinsville PayApp2 - PO-4500062487,TRN: 0050375254TC,"155,777.90",USD,CHECKING,CHECK,1/6/2026
Payment,000248,Closed,12/30/2025,12-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp007 - Deposit ID NUMBER 734541,Deposit ID 734541,"194,957.56",USD,CHECKING,CHECK,12/30/2025
Payment,000247,Closed,12/30/2025,12-2025,DAHLEMFISH,"Dahlem Fishers, LLC",Hiro Space Split - Exterior Sign Repair and Painting - Deposit ID NUMBER 734541,Check 7294,"16,723.00",USD,CHECKING,CHECK,12/30/2025
Payment,000246,Closed,12/30/2025,12-2025,ASPIREHLTH,Aspire Health Group,PayApp3 - Aspire Kissimmee Gardens - Deposit ID NUMBER 734541,Check 1317,"5,889.00",USD,CHECKING,CHECK,12/30/2025
Payment,000245,Closed,12/22/2025,12-2025,ASPIREHLTH,Aspire Health Group,PayApp3 - Aspire Kissimmee Gardens,Check 1316,"15,000.00",USD,CHECKING,CHECK,12/23/2025
Payment,000244,Closed,12/18/2025,12-2025,IBEACH,iBeach Holding Partners LLC,Pay App 010 - Westfield Collective,0959551352FF,"442,560.42",USD,CHECKING,CHECK,12/19/2025
Payment,000243,Closed,12/17/2025,12-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0020 - Goodwill Bloomington PayApp010,3516712530TC,"50,889.35",USD,CHECKING,CHECK,12/18/2025
Payment,000242,Closed,12/10/2025,12-2025,ASPIREHLTH,Aspire Health Group,PayApp3 - Aspire Kissimmee Gardens,1315,"15,000.00",USD,CHECKING,CHECK,12/11/2025
Payment,000241,Closed,12/10/2025,12-2025,ASPIREHLTH,Aspire Health Group,DEPOSIT ID NUMBER 808961,1313,"15,000.00",USD,CHECKING,CHECK,12/11/2025
Payment,000240,Closed,12/5/2025,12-2025,RADIAL,"Radial, Inc",Payment for October Invoices, 3394670522TC,"225,391.31",USD,CHECKING,CHECK,12/8/2025
Payment,000239,Closed,12/5/2025,12-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0018 - Goodwill Bloomington PayApp009,3391138626TC,"109,590.43",USD,CHECKING,CHECK,12/8/2025
Payment,000238,Closed,12/4/2025,12-2025,ASPIREHLTH,Aspire Health Group,DEPOSIT  ID NUMBER 381007,381007,"15,000.00",USD,CHECKING,CHECK,12/5/2025
Payment,000237,Closed,12/3/2025,12-2025,IBEACH,iBeach Holding Partners LLC,Pay App 009 - Westfield Collective,1113991337FF,"459,323.41",USD,CHECKING,CHECK,12/4/2025
Payment,000236,Closed,11/28/2025,11-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp006,3326746148TC,"454,076.00",USD,CHECKING,CHECK,12/2/2025
Payment,000235,Closed,11/25/2025,11-2025,ASPIREHLTH,Aspire Health Group,PayApp1 - Aspire Kissimmee Gardens,Check 1311,"15,000.00",USD,CHECKING,CHECK,11/26/2025
Payment,000234,Closed,11/25/2025,11-2025,STORAGESOL,"Storage Solutions, Inc.",Radial Avon - Storage Solutions PO 0133152,Check 34051,"22,500.00",USD,CHECKING,CHECK,11/26/2025
Payment,000233,Closed,11/25/2025,11-2025,ROYALVEN,Royal Ventures LLC,PayApp2 - Royal Theatre Apartments,Check 5115,"30,766.95",USD,CHECKING,CHECK,11/26/2025
Payment,000232,Closed,11/25/2025,11-2025,NIEMANN,"Niemann Holdings, LLC",PayApp5 - Niemann Foods,Check 2853,"43,621.80",USD,CHECKING,CHECK,11/26/2025
Payment,000231,Closed,11/12/2025,11-2025,CRAVING,CRAVING CREPES LLC,Payapp2 - Westfield Collective,0228120316FC,"400,000.00",USD,CHECKING,CHECK,11/13/2025
Voided Payment,000228,Closed,11/3/2025,11-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0016 - Goodwill Bloomington PayApp008,3048101288TC,"--266,066.67",USD,CHECKING,CHECK,11/3/2025
