Type,Reference Nbr.,Status,Payment Date,Payment Period,Customer,Customer Name,Description,Payment Ref.,Payment Amount,Currency,Cash Account,Payment Method,Created On
Payment,000153,Closed,4/2/2025,04-2025,CORE-MARK,"Core-Mark US, LLC",Pay App 001 - 25-101 Core Mark,536787,"264,226.00",USD,CHECKING,CHECK,4/3/2025
Payment,000152,Closed,4/2/2025,04-2025,JAMDPR,JAM'D Propert Group LLC,PCO#009: CE#047 - Added TV Outlets,0920524477TC,"4,911.64",USD,CHECKING,CHECK,4/3/2025
Payment,000151,Closed,3/26/2025,03-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 004 - Goodwill Bart,0864050140TC,"300,176.39",USD,CHECKING,CHECK,3/28/2025
Credit Memo,000300,Closed,3/25/2025,03-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Goodwill Bloomington PayApp002,,"211,881.55",USD,,,5/29/2025
Payment,000150,Closed,3/21/2025,03-2025,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 005,9148240001,"384,616.44",USD,CHECKING,CHECK,3/21/2025
Payment,000149,Closed,3/18/2025,03-2025,JAMDPR,JAM'D Propert Group LLC,PCO#004: CE#027 - Concrete Change at D, 0771786450TC,"4,688.39",USD,CHECKING,CHECK,3/20/2025
Payment,000148,Closed,3/7/2025,03-2025,JAMDPR,JAM'D Propert Group LLC,PCO#002: CE#025 - Added Tree Clearing,0662164874TC,"7,479.09",USD,CHECKING,CHECK,3/11/2025
Payment,000146,Closed,3/7/2025,03-2025,FORZA,Forza Commercial Real Estate,Pay 001 - Rehab Dayton Design,Check 1026,"38,982.00",USD,CHECKING,CHECK,3/7/2025
Payment,000147,Closed,3/5/2025,03-2025,JAMDPR,JAM'D Propert Group LLC,PCO#007: Added Cost for Boarwalk,0640284471TC,"3,000.00",USD,CHECKING,CHECK,3/7/2025
Credit Memo,000458,Closed,3/1/2025,03-2025,FORZA,Forza Commercial Real Estate,REV to bill to correct job Pay 001 - Rehab Dayton Design,,"38,982.00",USD,,,2/20/2026
Credit Memo,000301,Closed,2/28/2025,02-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Goodwill Bloomington PayApp001,,"105,956.65",USD,,,5/29/2025
Payment,000145,Closed,2/27/2025,02-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 003 - Goodwill Bart,0588286244TC,"349,843.55",USD,CHECKING,CHECK,3/3/2025
Payment,000144,Closed,2/24/2025,02-2025,JAMDPR,JAM'D Propert Group LLC,Pay App 009 - Crate Escapes,0556978442TC,"63,431.40",USD,CHECKING,CHECK,2/25/2025
Payment,000143,Closed,2/14/2025,02-2025,JAMDPR,JAM'D Propert Group LLC,Air Curtains,0451303214TC,"9,200.00",USD,CHECKING,CHECK,2/21/2025
Payment,000142,Closed,2/14/2025,02-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 009 Construction of Excel Center School # 114,0443038811TC,"24,396.16",USD,CHECKING,CHECK,2/14/2025
Payment,000141,Closed,2/14/2025,02-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 008 Construction of Excel Center School # 114,0443038811TC,"119,788.35",USD,CHECKING,CHECK,2/14/2025
Payment,000140,Closed,2/6/2025,02-2025,SPECTOR,"Spector and Co US, LP",RTU Compressor Repair,1090851037FF,"5,300.00",USD,CHECKING,CHECK,2/10/2025
Payment,000139,Closed,2/6/2025,02-2025,SPECTOR,"Spector and Co US, LP",Air Supply for Silk Pen Units,1090851037FF,"8,380.00",USD,CHECKING,CHECK,2/10/2025
Payment,000138,Closed,2/6/2025,02-2025,SPECTOR,"Spector and Co US, LP",Added Electrical and Maintenance Items,1090851037FF,"6,300.00",USD,CHECKING,CHECK,2/10/2025
Payment,000137,Closed,1/30/2025,01-2025,ZION,"Zion Solutions Group, LLC",001 - Zion Door Dash,0301663549TC,"36,635.00",USD,CHECKING,CHECK,1/31/2025
Payment,000136,Closed,1/27/2025,01-2025,SPECTOR,"Spector and Co US, LP",PO 20342 - Added Electrical for New Machines,1127311024FF,"20,318.00",USD,CHECKING,CHECK,1/27/2025
Payment,000135,Closed,1/23/2025,01-2025,JAMDPR,JAM'D Propert Group LLC,Pay App 008 - Crate Escapes,TRN: 0231339438TC,"582,724.63",USD,CHECKING,CHECK,1/24/2025
Payment,000134,Closed,1/23/2025,01-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 001 - Goodwill Bart,TRN: 0234241831TC,"110,582.87",USD,CHECKING,CHECK,1/24/2025
Payment,000133,Closed,1/23/2025,01-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 002 - Goodwill Bart,TRN: 0234241831TC,"329,984.27",USD,CHECKING,CHECK,1/24/2025
Payment,000132,Closed,1/22/2025,01-2025,CORE-MARK,"Core-Mark US, LLC",Pay 001 - Core Mark,41888,"348,254.67",USD,CHECKING,CHECK,1/23/2025
Payment,000131,Closed,12/30/2024,12-2024,ZION,"Zion Solutions Group, LLC",Pay 006 - Lakeshore Temp Power,3654846971TC,"343,614.77",USD,CHECKING,CHECK,12/31/2024
Payment,000130,Closed,12/23/2024,12-2024,IMMCON,Immigrant Connection Inc,Pay App 002 - Immigrant Connection Work Final,Check#9907026987,"16,845.50",USD,CHECKING,CHECK,12/26/2024
Payment,000129,Closed,12/20/2024,12-2024,CART.COM,"Cart.com, Inc",Pay 002 - Cart Cold Storage - Electrical Service Phase 1 & 2,3445313149TC,"517,251.80",USD,CHECKING,CHECK,12/20/2024
Payment,000128,Closed,12/18/2024,12-2024,CSC,CSC Leasing Co,PO # 2023139X-91024-1,3537310550TC,"283,348.00",USD,CHECKING,CHECK,12/19/2024
Payment,000127,Closed,12/13/2024,12-2024,CSC,CSC Leasing Co,PO # 2023139Y-101624-1,3481745460TC,"380,000.00",USD,CHECKING,CHECK,12/16/2024
Payment,000126,Closed,12/5/2024,12-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 007 Construction of Excel Center School # 114,3402297133TC,"32,472.66",USD,CHECKING,CHECK,12/6/2024
Payment,000125,Closed,12/5/2024,12-2024,JAMDPR,JAM'D Propert Group LLC,Pay App 007 - Crate Escapes,3408477861TC,"539,050.11",USD,CHECKING,CHECK,12/6/2024
Payment,000124,Closed,11/29/2024,11-2024,ZION,"Zion Solutions Group, LLC",Pay 005 - Lakeshore Temp Power,3345580937TC,"316,952.76",USD,CHECKING,CHECK,12/2/2024
Payment,000123,Closed,11/29/2024,11-2024,THEWES,The Wesleyan Church Corporation,Pay App 003 - The Wesleyan Church Office Remodel,225969,"111,775.00",USD,CHECKING,CHECK,11/29/2024
Payment,000122,Closed,11/20/2024,11-2024,ZION,"Zion Solutions Group, LLC",Pratt Whitney PO 1309 Pay Application 002,3256305454TC,"85,982.00",USD,CHECKING,CHECK,11/21/2024
Payment,000121,Closed,11/14/2024,11-2024,SPECTOR,"Spector and Co US, LP",PO 20342 - Added Electrical for New Machines,1208641319FF,"18,000.00",USD,CHECKING,CHECK,11/21/2024
Payment,000120,Closed,11/4/2024,11-2024,CART.COM,"Cart.com, Inc",Pay 001 - Cart Cold Storage - Electrical Service Phase 1 & 2,3091051916TC,"385,260.00",USD,CHECKING,CHECK,11/5/2024
Payment,000116,Closed,10/30/2024,10-2024,ZION,"Zion Solutions Group, LLC",Pay 004 - Lakeshore Temp Power,1204895317,"170,611.78",USD,CHECKING,CHECK,10/30/2024
Payment,000117,Closed,10/28/2024,10-2024,JAMDPR,JAM'D Propert Group LLC,Pay App 006 - Crate Escapes,991639748,"436,011.53",USD,CHECKING,CHECK,10/30/2024
Payment,000119,Closed,10/7/2024,10-2024,IMMCON,Immigrant Connection Inc,Pay App 001 - Immigrant Connection Work,DEPOSIT  ID NUMBER  13367,"27,621.50",USD,CHECKING,CHECK,11/1/2024
Payment,000118,Closed,10/7/2024,10-2024,THEWES,The Wesleyan Church Corporation,Pay App 002 - The Wesleyan Church Office Remodel,DEPOSIT  ID NUMBER  13367,"24,102.70",USD,CHECKING,CHECK,11/1/2024
Payment,000115,Closed,10/3/2024,10-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Partial Payment - Pay App  007 Construction of Excel Center School # 114,2777191858TC,"92,019.99",USD,CHECKING,CHECK,10/7/2024
Payment,000114,Closed,10/1/2024,10-2024,ZION,"Zion Solutions Group, LLC",Pay 003 - Lakeshore Temp Power,2751450718TC,"151,123.89",USD,CHECKING,CHECK,10/2/2024
Credit Memo,000235,Closed,9/30/2024,09-2024,THEWES,The Wesleyan Church Corporation,Pay App 003 - The Wesleyan Church Office Remodel_Reversal of invoice,,"98,351.50",USD,,,11/26/2024
Credit Memo,000222,Closed,9/30/2024,09-2024,JAMDPR,JAM'D Propert Group LLC,Reversal - Amount Change in Procore - Pay App 006 - Crate Escapes,,"293,709.88",USD,,,10/30/2024
Payment,000113,Closed,9/26/2024,09-2024,JAMDPR,JAM'D Propert Group LLC,Pay App 005 - Crate Escapes,991639748,"341,841.15",USD,CHECKING,CHECK,9/26/2024
Payment,000112,Closed,9/10/2024,09-2024,THEWES,The Wesleyan Church Corporation,Pay App 001 - The Wesleyan Church Office Remodel,575318,"191,596.30",USD,CHECKING,CHECK,9/20/2024
Payment,000111,Closed,9/5/2024,09-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 006 Construction of Excel Center School # 114,2494510714TC,"277,566.02",USD,CHECKING,CHECK,9/6/2024
Payment,000109,Closed,8/20/2024,08-2024,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 004,442626,"55,715.35",USD,CHECKING,CHECK,8/23/2024
Payment,000108,Closed,8/20/2024,08-2024,ZION,"Zion Solutions Group, LLC",Pay 002 - Lakeshore Temp Power,1204895317,"96,211.00",USD,CHECKING,CHECK,8/20/2024
Payment,000107,Closed,8/20/2024,08-2024,ZION,"Zion Solutions Group, LLC",Pay 001 - Lakeshore Temp Power,1204895317,"148,279.00",USD,CHECKING,CHECK,8/20/2024
Payment,000106,Closed,8/20/2024,08-2024,ZION,"Zion Solutions Group, LLC",Sprinklers-Alleato - Per Quote dated 4/8/2024,1204895317,"367,216.00",USD,CHECKING,CHECK,8/20/2024
Payment,000105,Closed,8/15/2024,08-2024,JAMDPR,JAM'D Propert Group LLC,Pay App 004 - Crate Escapes,2285236342TC,"246,977.13",USD,CHECKING,CHECK,8/16/2024
Payment,000104,Closed,8/1/2024,08-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 005 Construction of Excel Center School # 114,2143499751TC,"259,468.64",USD,CHECKING,CHECK,8/14/2024
Credit Memo,000199,Closed,7/31/2024,07-2024,ZION,"Zion Solutions Group, LLC",Pay 002 - Lakeshore Temp Power,,"96,211.00",USD,,,8/8/2024
Payment,000102,Closed,7/25/2024,07-2024,SPECTOR,"Spector and Co US, LP",2nd Payment - PO 20342 - Added Electrical for New Machines,1107441207FF,"19,159.00",USD,CHECKING,CHECK,7/30/2024
Voided Payment,000100,Closed,7/18/2024,07-2024,SPECTOR,"Spector and Co US, LP",PO 20342 - Added Electrical for New Machines,1080421193FF,"--76,636.00",USD,CHECKING,CHECK,7/18/2024
Payment,000099,Closed,7/17/2024,07-2024,JAMDPR,JAM'D Propert Group LLC,Pay App 003 - Crate Escapes,991639748,"150,701.79",USD,CHECKING,CHECK,7/17/2024
Payment,000101,Closed,7/11/2024,07-2024,SPECTOR,"Spector and Co US, LP",PO 20342 - Added Electrical for New Machines,1080421193FF,"19,159.00",USD,CHECKING,CHECK,7/18/2024
Payment,000100,Voided,7/11/2024,07-2024,SPECTOR,"Spector and Co US, LP",PO 20342 - Added Electrical for New Machines,1080421193FF,"76,636.00",USD,CHECKING,CHECK,7/18/2024
Payment,000098,Closed,7/11/2024,07-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Full Payment - Pay 004 Construction of Excel Center School # 114,1930768494TC,"160,127.18",USD,CHECKING,CHECK,7/12/2024
Payment,000110,Closed,7/9/2024,07-2024,VARGO,"Vargo, LLC",Joist Reinforcement Final Pay App,869659,"96,270.00",USD,CHECKING,CHECK,9/4/2024
Voided Payment,000103,Closed,7/9/2024,07-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Partial Payment - Pay 005 Construction of Excel Center School # 114,869659,"--96,270.00",USD,CHECKING,CHECK,8/14/2024
Payment,000103,Voided,7/9/2024,07-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Partial Payment - Pay 005 Construction of Excel Center School # 114,869659,"96,270.00",USD,CHECKING,CHECK,7/31/2024
Credit Memo,000205,Closed,6/30/2024,06-2024,ZION,"Zion Solutions Group, LLC",Pay 002 - Lakeshore Temp Power,,"96,211.00",USD,,,8/8/2024
Credit Memo,000204,Closed,6/30/2024,06-2024,ZION,"Zion Solutions Group, LLC",Pay 001 - Lakeshore Temp Power,,"148,279.00",USD,,,8/8/2024
Credit Memo,000198,Closed,6/30/2024,06-2024,ZION,"Zion Solutions Group, LLC",Pay 001 - Lakeshore Temp Power,,"148,279.00",USD,,,8/8/2024
Payment,000097,Closed,6/20/2024,06-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Partial Payment - Pay 004 Construction of Excel Center School # 114,1723898206TC,"179,022.14",USD,CHECKING,CHECK,6/21/2024
Payment,000096,Closed,6/17/2024,06-2024,JAMDPR,JAM'D Propert Group LLC,Pay App 002 - Crate Escapes,1669217192TC,"47,300.00",USD,CHECKING,CHECK,6/17/2024
Credit Memo,000194,Closed,6/4/2024,06-2024,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 004,,"55,715.34",USD,,,7/26/2024
Credit Memo,000193,Closed,6/4/2024,06-2024,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 004,,"55,715.35",USD,,,7/25/2024
Payment,000095,Closed,5/16/2024,05-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 003 Construction of Excel Center School # 114,1375319024TC,"433,540.16",USD,CHECKING,ACH PYMT,5/17/2024
Payment,000094,Closed,5/16/2024,05-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 002 Construction of Excel Center School # 114,1375319026TC,"370,583.64",USD,CHECKING,ACH PYMT,5/17/2024
Voided Payment,000092,Closed,5/9/2024,05-2024,JAMDPR,JAM'D Propert Group LLC,ORIG CO NAME:Jamd Property Gr       ORIG ID:991639748  DESC DATE:May 07 CO ENTRY DESCR:Alleato   SEC:CCD    TRACE#:074902502622709 EED:240507   IND ID:                             IND NAME:Alleato TRN: 1282622709TC,1282622709TC,"--28,000.00",USD,CHECKING,CHECK,5/9/2024
Payment,000093,Closed,5/7/2024,05-2024,JAMDPR,JAM'D Propert Group LLC,ORIG CO NAME:Jamd Property Gr       ORIG ID:991639748  DESC DATE:May 07 CO ENTRY DESCR:Alleato   SEC:CCD    TRACE#:074902502622709 EED:240507   IND ID:                             IND NAME:Alleato TRN: 1282622709TC,1282622709TC,"28,000.00",USD,CHECKING,ACH PYMT,5/9/2024
Payment,000092,Voided,5/7/2024,05-2024,JAMDPR,JAM'D Propert Group LLC,ORIG CO NAME:Jamd Property Gr       ORIG ID:991639748  DESC DATE:May 07 CO ENTRY DESCR:Alleato   SEC:CCD    TRACE#:074902502622709 EED:240507   IND ID:                             IND NAME:Alleato TRN: 1282622709TC,1282622709TC,"28,000.00",USD,CHECKING,CHECK,5/9/2024
Voided Payment,000091,Closed,4/18/2024,04-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 002 Construction of Excel Center School # 114,0954485450TC,"--391,955.00",USD,CHECKING,ACH PYMT,4/18/2024
Payment,000089,Closed,4/11/2024,04-2024,MACGRO,Macomb Group Inc.,Pay app 002 : Indy Location Renovations,1024670259TC,"34,535.80",USD,CHECKING,ACH PYMT,4/18/2024
Payment,000090,Closed,4/10/2024,04-2024,CEVA,"CEVA Logistics U.S., Inc.",Fire Alarm Work for Automation,1018298454TC,"78,519.01",USD,CHECKING,ACH PYMT,4/18/2024
Payment,000091,Voided,4/4/2024,04-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 002 Construction of Excel Center School # 114,0954485450TC,"391,955.00",USD,CHECKING,ACH PYMT,4/18/2024
Payment,000088,Closed,4/4/2024,04-2024,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Construction of Excel Center School # 114,0969683567TC,"391,955.00",USD,CHECKING,ACH PYMT,4/8/2024
Payment,000086,Closed,3/8/2024,03-2024,RADIAL,"Radial, Inc",Radial Avon Final Pay Application,0685101406TC,"232,757.75",USD,CHECKING,CHECK,3/11/2024
Payment,000085,Closed,2/28/2024,02-2024,TURNINGPOI,Jennifer Rivers,Final Invoice - Turning Pointe Academy New Fishers Location,CHECK 859,"25,042.00",USD,CHECKING,CHECK,3/1/2024
Payment,000087,Closed,2/27/2024,02-2024,LXPIND,Lexington OC 200 LLC,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: LXP INDUSTRIAL TRUST 10119 US REF: NBNF=ALLEATO LLC CARMEL IN 46280-1068 US/AC-000000008626 ORG=/00938764 7503 10119 US OGB=BANK OF AMERICA, N.A. NEW YORK NY US OBI=DRAW 1 BBI=/CHGS/USD0,/OCMT/USD122050,/ SSN: 0526061 TRN: 1346440058FC",1346440058FC,"122,050.00",USD,CHECKING,CHECK,3/11/2024
Payment,000084,Closed,2/27/2024,02-2024,MACGRO,Macomb Group Inc.,Pay app 001 : Indy Location Renovations,0587839557TC,"80,884.20",USD,CHECKING,CHECK,3/1/2024
Payment,000083,Closed,2/20/2024,02-2024,COMPRO,Commercial Properties Associates LLP,Macomb Indy Plumbing Repairs,CHECK#25858,"15,425.44",USD,CHECKING,CHECK,2/26/2024
Payment,000082,Closed,2/7/2024,02-2024,CART.COM,"Cart.com, Inc",ORIG CO NAME:cart.com CO ENTRY DESCR:Bill.com SEC:CCD IND ID:025FZJFKLBSB526 ORIG ID:1204895317,1204895317,"408,000.00",USD,CHECKING,CHECK,2/7/2024
Payment,000081,Closed,2/1/2024,02-2024,CBRE LV,"CBRE, Inc.",Spector Warehouse Heating,CK # 215229,"12,258.14",USD,CHECKING,CHECK,2/5/2024
Payment,000080,Closed,1/19/2024,01-2024,TURNINGPOI,Jennifer Rivers,Final Invoice - Turning Pointe Academy New Fishers Location,CHECK#105,"30,000.00",USD,CHECKING,CHECK,1/25/2024
Credit Memo,000172,Closed,1/9/2024,01-2024,RADIAL,"Radial, Inc",Radial Avon Final Pay Application - reverse to amend the invoice,,"232,757.75",USD,,,1/25/2024
Credit Memo,000171,Closed,1/9/2024,01-2024,RADIAL,"Radial, Inc",Radial Avon Final Pay Application - reverse to amend the invoice,,"548,090.29",USD,,,1/25/2024
Payment,000079,Closed,1/9/2024,01-2024,ZION,"Zion Solutions Group, LLC",Radial Buford Permit Fees,0095404712TC,"6,846.00",USD,CHECKING,ACH PYMT,1/25/2024
Credit Memo,000234,Closed,12/31/2023,12-2023,RADIAL,"Radial, Inc",Void Invoice - Radial Inc - PO 4500044085 - Added MDF Door,,"6,035.00",USD,,,11/22/2024
Credit Memo,000233,Closed,12/31/2023,12-2023,BELLA,"Bella + Canvas, LLC",Void Invoice - Pay App 003 MD Project,,"4,214.99",USD,,,11/22/2024
Payment,000078,Closed,12/20/2023,12-2023,TSS,Tabor Storage Solutions LLC,Radial Buford Permit Fees,3549154050TC,"1,546.00",USD,CHECKING,ACH PYMT,12/21/2023
Payment,000077,Closed,11/30/2023,11-2023,CART.COM,"Cart.com, Inc",Cart Memphis Pay Application 001,3343493336TC,"295,835.95",USD,CHECKING,CHECK,12/5/2023
Payment,000072,Closed,11/24/2023,11-2023,CART.COM,"Cart.com, Inc",ORIG CO NAME:cart.com               ORIG ID:1204895317 DESC DATE:       CO ENTRY DESCR:Bill.com  SEC:CCD    TRACE#:021000021651038 EED:231124   IND ID:025TPTBGZMPCK8C              IND NAME:Alleato LLC                        cart.com Bill.com 025TPTBGZ MPCK8C Multiple invoices (details o on stub)-- TRN: 3281651038TC,3281651038TC,"98,014.05",USD,CHECKING,ACH PYMT,11/27/2023
Payment,000076,Closed,11/14/2023,11-2023,AHS,Advance Handling Systems,Pay App 002 - AHS Mooresville PO# 73148,5205,"383,260.73",USD,CHECKING,CHECK,11/28/2023
Payment,000075,Closed,11/14/2023,11-2023,VARGO,"Vargo, LLC",Payment for 127 - 130,26927,"824,331.03",USD,CHECKING,CHECK,11/28/2023
Payment,000074,Closed,11/14/2023,11-2023,VARGO,"Vargo, LLC",PO 217126 Pay App 005,26929,"187,530.00",USD,CHECKING,CHECK,11/28/2023
Payment,000073,Closed,11/14/2023,11-2023,AHS,Advance Handling Systems,PO 72778 - Conveyor Electrical Labor Check # 86276 dtd 110323,86276,"5,851.00",USD,CHECKING,CHECK,11/28/2023
Payment,000070,Closed,10/30/2023,10-2023,CART.COM,"Cart.com, Inc",Cart Memphis Pay Application 001 - partial payment,3039691802TC,"14,150.00",USD,CHECKING,CHECK,11/2/2023
Payment,000071,Closed,10/27/2023,10-2023,AHS,Advance Handling Systems,DEPOSIT  ID NUMBER  82788,82788,"29,951.00",USD,CHECKING,CHECK,11/2/2023
Payment,000069,Closed,10/23/2023,10-2023,WATERFRONT,"700 Waterfront Owner, LLC",Payment for Invoices 136 and 137,469654,"560,326.00",USD,CHECKING,CHECK,11/2/2023
Payment,000068,Closed,10/13/2023,10-2023,GOODWILL,"Goodwill Industries of Central Indiana, Llc",ORIG CO NAME:GOODWILL GCSI          ORIG ID:1350893506 DESC DATE:231013 CO ENTRY DESCR:TRADE PAY SEC:CCD    TRACE#:086300011420497 EED:231013   IND ID:ALLEA001                     IND NAME:ALLEATO GROUP              RMR*IV*000103**71726.27\ TRN: 2861420497TC,2861420497TC,"71,726.27",USD,CHECKING,CHECK,10/16/2023
Payment,000066,Closed,10/2/2023,10-2023,FF SOLUTIO,"FF Solutions Group, LLC",ORIG CO NAME:FF SOLUTIONS GRO CO ENTRY DESCR:ACH Pmt    SEC:CCD IND ID:11109950601     ORIG ID:9200502235,9200502235,"71,905.00",USD,CHECKING,CHECK,10/3/2023
Credit Memo,000146,Closed,10/1/2023,10-2023,CART.COM,"Cart.com, Inc",Project 23:108 Pay Application 002,,"77,614.05",USD,,,10/26/2023
Credit Memo,000142,Closed,10/1/2023,10-2023,CART.COM,"Cart.com, Inc",Project 23:108 Pay Application 002,,"4,084.95",USD,,,10/26/2023
Credit Memo,000131,Closed,9/30/2023,09-2023,PURRS,Purrs & Gurrs,Write off balance,,"18,565.20",USD,,,10/4/2023
Credit Memo,000147,Closed,9/1/2023,09-2023,CART.COM,"Cart.com, Inc",Project 23:108 Pay Application 001,,"309,985.95",USD,,,10/26/2023
Credit Memo,000143,Closed,9/1/2023,09-2023,CART.COM,"Cart.com, Inc",Project 23:108 Pay Application 001,,"16,315.05",USD,,,10/26/2023
Payment,000067,Closed,8/28/2023,08-2023,EYE SURG,Eye Surgeons Real Estate LLC,Payment for Pay 003 - Lasik Center,DEPOSIT  ID NUMBER 303142,"21,350.66",USD,CHECKING,CHECK,10/3/2023
Payment,000062,Closed,8/28/2023,08-2023,OUT,"Outreach, Inc",,CK10442,"52,423.00",USD,CHECKING,CHECK,9/14/2023
Payment,000061,Closed,8/28/2023,08-2023,VARGO,"Vargo, LLC",,CK26398,"515,901.82",USD,CHECKING,CHECK,9/14/2023
Payment,000064,Closed,8/25/2023,08-2023,RADIAL,"Radial, Inc","ORIG CO NAME:RADIAL, INC. ORIG ID:A232993313 DESC DATE: CO ENTRY DESCR:EDI PYMNTSSEC:CTX TRACE#:091000018249090 EED:230825 IND ID:07592000141954 IND NAME:0009Alleato LLC TRN: 2378249090TC",YL95pb9Yd5C6B74wrvdDsQw7XdOQ9AczjQYoO,"21,662.44",USD,CHECKING,CHECK,9/14/2023
Payment,000063,Closed,8/24/2023,08-2023,AHS,Advance Handling Systems,DEPOSIT ID NUMBER 953958,rDxq4ZxLoqUz7D4k9Vdnt9E5J6rn55sw4jnrX,"391,296.71",USD,CHECKING,CHECK,9/14/2023
Payment,000060,Closed,8/18/2023,08-2023,RADIAL,"Radial, Inc",,ACH 08-18,"297,970.10",USD,CHECKING,CHECK,9/14/2023
Payment,000059,Closed,8/18/2023,08-2023,BELLA,"Bella + Canvas, LLC",,ACH 08-11,"73,018.92",USD,CHECKING,CHECK,9/14/2023
Payment,000065,Closed,8/14/2023,08-2023,PURRS,Purrs & Gurrs,,Pymt,"39,024.70",USD,CHECKING,CHECK,9/14/2023
Payment,000058,Closed,8/11/2023,08-2023,BELLA,"Bella + Canvas, LLC","ORIG CO NAME:BELLACANVAS9276 ORIG ID:1814728653 DESC DATE: CO ENTRY DESCR:INVS, FRT SEC:PPD TRACE#:121137524042166 EED:230811 IND ID: IND NAME:ALLEATO LLC TRN: 2234042166TC",mZa64XaYx6CZXq8Nz0n0HdgV6or3xMI8wAKow,"60,490.23",USD,CHECKING,CHECK,8/15/2023
Payment,000057,Closed,8/3/2023,08-2023,ZION,"Zion Solutions Group, LLC",ORIG CO NAME:ZION SOLUTIONS G ORIG ID:9200502235 DESC DATE:230803 CO ENTRY DESCR:ACH Pmt SEC:CCD TRACE#:021000021736568 EED:230803 IND ID:11026295419 IND NAME:Alleato Group 000102 TRN: 2151736568TC,yK3v6A3yYvc3gKDL6n0miaV8eQ9x5KfRLrD6n,"18,933.75",USD,CHECKING,CHECK,8/15/2023
Payment,000054,Closed,7/14/2023,07-2023,RADIAL,"Radial, Inc","ORIG CO NAME:RADIAL, INC. ORIG ID:A232993313 DESC DATE: CO ENTRY DESCR:EDI PYMNTSSEC:CTX TRACE#:091000013310741 EED:230714 IND ID:07592000139828 IND NAME:0009Alleato LLC TRN: 1953310741TC",NjrAJ1rOYAHa6RjEOQZmsOmVpz8RNYsx7pdpw,"354,069.00",USD,CHECKING,CHECK,8/2/2023
Payment,000056,Closed,7/13/2023,07-2023,SPECTOR,"Spector and Co US, LP",,Wire 20230713,"41,399.87",USD,CHECKING,CHECK,8/2/2023
Credit Memo,000152,Closed,7/12/2023,07-2023,BELLA,"Bella + Canvas, LLC",PCO 003R1 and PCO 005,,"97,888.50",USD,,,11/27/2023
Payment,000055,Closed,7/5/2023,07-2023,SPECTOR,"Spector and Co US, LP",Pay App #4-final with retainage,Wire 20230705,"100,000.00",USD,CHECKING,CHECK,8/2/2023
Payment,000053,Closed,7/5/2023,07-2023,VARGO,"Vargo, LLC",,20230705 DEP,"711,800.00",USD,CHECKING,CHECK,8/2/2023
Payment,000052,Closed,6/9/2023,06-2023,BELLA,"Bella + Canvas, LLC","ORIG CO NAME:BELLACANVAS9276 ORIG ID:1814728653 DESC DATE: CO ENTRY DESCR:INVS, FRT SEC:PPD TRACE#:121137521472036 EED:230609 IND ID: IND NAME:ALLEATO LLC TRN: 1601472036TC",qLjPxZj65PCeB5gkYRNoS3OA9aXNReIENKmZ1,"855,904.25",USD,CHECKING,CHECK,6/14/2023
Voided Payment,000046,Closed,6/8/2023,06-2023,CEVA,"CEVA Logistics U.S., Inc.",Pay Application 004 - Platform Lighting and Sprinkler-void pymt - applied to Debit Memo to clear out,Pay App 004,"--220,422.26",USD,CHECKING,CHECK,6/8/2023
Payment,000051,Closed,5/18/2023,05-2023,VARGO,"Vargo, LLC",Check # 25235,Check Dep 25235,"398,000.00",USD,CHECKING,CHECK,6/7/2023
Payment,000050,Closed,5/16/2023,05-2023,SPECTOR,"Spector and Co US, LP",Wire rec 2023-05-16,Wire 20230516,"27,398.50",USD,CHECKING,CHECK,6/7/2023
Payment,000049,Closed,5/15/2023,05-2023,SPECTOR,"Spector and Co US, LP",,Wire 20230511,"270,000.00",USD,CHECKING,CHECK,6/7/2023
