documentId,annotationId,annotationNumber,status,authorName,replyCount,lastUpdatedIso,preview
/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,mbzaRp3vbgos2btf5mRU,4,Open,Brandon Clymer,0,2026-07-01T03:49:29.154Z,Commitment page should look like this screen shot. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} 5eaOWLNaSuDvJyRfCyzr.png
/876/invoicing/subcontractor/8092,p2StcVU4PG1f8wBYIwkJ,1,Open,Brandon Clymer,0,2026-07-01T03:47:53.107Z,"{{8e0a5ed8-750b-49f1-9aa6-bbc01f634074}} when I exported the invoice it isn't showing correctly, it should match the export shown in Procore/Job Planner. Invoice page should look like procore screen shot. 24-102-Wesleyan_Office-2-Invoice_2-2026-07-01.pdf Exported PDF should look like the attachment."
/876/invoicing/subcontractor/new,TQseq0FP4IUz9bMgCMU3,1,Open,Brandon Clymer,0,2026-07-01T03:43:09.294Z,{{8e0a5ed8-750b-49f1-9aa6-bbc01f634074}} you should be able to put in a % and it populate.
/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,CPDPG31INKeEnf9BPXAx,3,Open,Brandon Clymer,0,2026-07-01T03:41:33.638Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} make sure subs can't create change events. rPpk19x6RwjxothWvwuz.png
/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,pHmhXljguxflY8U5z6IO,2,Open,Brandon Clymer,0,2026-07-01T03:39:51.398Z,Why does this say create retainage invoice? {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}
/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,0yOmbzX9NvwcgbWIvq03,1,Open,Brandon Clymer,0,2026-07-01T03:38:27.247Z,"{{8e0a5ed8-750b-49f1-9aa6-bbc01f634074}} status is approved, I shouldn't be able to come in here and edit items, I would need to put it in draft status and then edit."
/876/change-orders/commitment/aa35f3c3-5ec0-4568-b126-f8671b4791cc,mi3N7qoNnYiAxVjPlOwG,2,Open,Brandon Clymer,0,2026-07-01T03:34:02.032Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should be able to export this to PDF so I can send it to the sub for signature. I should also be able to email it to them from this screen as well.
/876/commitments/370ccdd2-4f9e-404a-84ec-21c4f2403658,gxCwrX82Ms38iZtEz3U6,1,Open,Brandon Clymer,0,2026-07-01T03:31:04.024Z,{{8e0a5ed8-750b-49f1-9aa6-bbc01f634074}} PDF export doesn't work. 0NYPXmxSC91iOZt6PF09.png
/876/change-events,R9t6VPMnnWVMV2yGKD0M,5,Open,Brandon Clymer,0,2026-07-01T03:26:38.920Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} no bar to scroll right to left. F56DNXX8iztmZGvdABOR.png
/876/change-events,1qHwrYy1OClU95ha2xHi,4,Open,Brandon Clymer,0,2026-07-01T03:25:24.467Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} should be a settings function here I can make changes, refer to procore. FHEtqrS47gWWtmd93xLH.png"
/876/change-events,7jKXugrPa4pgwJzKxCwK,2,Open,Brandon Clymer,0,2026-07-01T03:22:25.702Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} this amount is wrong, this commitment is 28k, not sure where it is pulling from."
/876/change-events,0rrt7ZfW4uKWqiDuqjY9,1,Open,Brandon Clymer,0,2026-07-01T03:20:09.905Z,Mark up is showing on the cost side and not the revenue side. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}
/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,aozkIj82bWj4Rgsv5ynZ,1,Open,Brandon Clymer,0,2026-07-01T03:16:05.089Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} export function failed. vCstcP0NE4zorTesTHaV.png
/876/change-events/new,wJPwUZLCsUznN3TyUHYa,1,Open,Brandon Clymer,0,2026-07-01T03:14:14.451Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should not be able to add a company here. Also when I selected R.J Skeldon, then I tried to unslect them and it wouldn't let me. D1bUGHAdnQ87faV5lXZa.png"
/876/budget,loCcMIjYanl6bcm5Lowt,5,Open,Brandon Clymer,0,2026-07-01T03:09:40.386Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} it wont let me edit forcast to complete, please refrence Procore budget."
/876/budget,7X236rN6O2NyxB6qRGNX,4,Open,Brandon Clymer,0,2026-07-01T03:08:27.473Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} budget modifications aren't showing up.
/876/budget,sRNDb8pBYY5QrUSAD6v4,3,Open,Brandon Clymer,0,2026-07-01T03:07:11.398Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} The division shouldn't have focasting, refrence the screen shot."
/876/budget,gtWLdw2dCHban9JvmXbT,2,Open,Brandon Clymer,0,2026-07-01T03:02:24.795Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} Why are all these pencils and trash cans showing when the budget is locked and you can't change anything?
/876/transmittals,KkWn15lhoGZMO0AtLMvE,1,Open,Brandon Clymer,0,2026-07-01T02:56:49.709Z,"This is howa transmittal page should look, please refrence procore. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} lLjrbDaOxVqJdBlMgS9t.png"
/876/submittals,tqqCeaoXQSmWV47QBn93,2,Open,Brandon Clymer,0,2026-07-01T02:55:11.383Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} there should be a gear cog here that I can click and it takes me to submittal settings. See how procore shows there's. zb2lxhDloq6BX2oYZiq0.png
/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4,XBkjOA4mBR5tEU2iggGr,2,Open,Brandon Clymer,0,2026-07-01T02:53:00.543Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should be able to export this to PDF so I can send it out. It should have these options as well, cover sheet is important. All should have alleato branding. JTHl0xbPRUESkBnZLMhK.png"
/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4,UhKHMBbr6NGfB87iQCuM,1,Open,Brandon Clymer,0,2026-07-01T02:51:21.440Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} you should be able to click view or edit, right now you just click into it and then it is all editable, that invites mistakes. Also in the workflow section the first person in the workflow should be the submitter, the approver should be greyed out unless there is a step before them."
/876/submittals,3legbMXWYGZyctpBZiHP,1,Open,Brandon Clymer,0,2026-07-01T02:48:12.143Z,"Export should be a button I click and then I can pick PDF or CSV, both should be formatted correctly and the PDF should have all the alleato branding. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}"
/876/rfis,mR2W61n6FjZ7E6k7Hn6L,1,Open,Brandon Clymer,0,2026-07-01T02:45:40.101Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should be able to export PDF that is formated as a RFI log, I should be able to click and export just this single RFI as well. RFI page should be able to be configured like the Procore one shown in the screen shot."
/876/rfis/new,6m0X9lBBQLWasC93o3S4,2,Open,Brandon Clymer,0,2026-07-01T02:33:17.812Z,Should only pull from people who are in the project. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}
/876/rfis/new,ttO87MfQsn9bRCYbiG4S,1,Open,Brandon Clymer,1,2026-07-01T02:32:03.158Z,"RFI manager should only be from people who are in the job, not everyone."
/876/progress-reports/e3e0d19c-4739-44f0-bee9-91ddebeaca0b,5oOasLbDcxKcbg1zw3TC,1,Open,Brandon Clymer,0,2026-07-01T02:30:31.536Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} Generate PDF isn't working, it should have something coming out formated correctly. Also there should be an ability for someon to manually edit this report as needed, it should also show the current sustancial completion date."
/876/documents,PDSSC1LJDLkSKRHRAZyT,1,Open,Brandon Clymer,0,2026-07-01T02:27:21.812Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} Where are these documents coming from, who is uploading them? Is this something AI is doing?"
